kappa,h,p,estimator,budget,comparison,equal_CNOT_shots_completed,gate_shots,counts,fingerprint,scope
0.45,0.0125,0,raw,10000,equal_total_shots,False,70000,results/stage6_v1/end_to_end/measurements/ddf10da4f3f82a067cfa696eee527f99247bd5deebae63cecd4e3d4aef0f3a87.npz,ddf10da4f3f82a067cfa696eee527f99247bd5deebae63cecd4e3d4aef0f3a87,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.05,zne,10000,equal_total_shots,False,209986,results/stage6_v1/end_to_end/measurements/ff59c6ada981d79882ebae9c8cac709855cac64b307e82b2e5075eb95a5db3e0.npz,ff59c6ada981d79882ebae9c8cac709855cac64b307e82b2e5075eb95a5db3e0,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.05,zne,100000,equal_total_shots,False,2099986,results/stage6_v1/end_to_end/measurements/ff59c6ada981d79882ebae9c8cac709855cac64b307e82b2e5075eb95a5db3e0.npz,ff59c6ada981d79882ebae9c8cac709855cac64b307e82b2e5075eb95a5db3e0,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.05,zne_quadratic,10000,equal_total_shots,False,209986,results/stage6_v1/end_to_end/measurements/ff59c6ada981d79882ebae9c8cac709855cac64b307e82b2e5075eb95a5db3e0.npz,0df3ec0cc4cc19891d6d7d17d73584e9d56e98ac86ee9617ff97249d26824c39,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.05,zne_quadratic,100000,equal_total_shots,False,2099986,results/stage6_v1/end_to_end/measurements/ff59c6ada981d79882ebae9c8cac709855cac64b307e82b2e5075eb95a5db3e0.npz,0df3ec0cc4cc19891d6d7d17d73584e9d56e98ac86ee9617ff97249d26824c39,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.05,sv,10000,equal_total_shots,False,70000,results/stage6_v1/end_to_end/measurements/3f7b10965a1ede1ffaabc582fef1a05ee92b4ffd79e7241e46cb50ac323c67d3.npz,3f7b10965a1ede1ffaabc582fef1a05ee92b4ffd79e7241e46cb50ac323c67d3,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.05,sv,100000,equal_total_shots,False,700000,results/stage6_v1/end_to_end/measurements/3f7b10965a1ede1ffaabc582fef1a05ee92b4ffd79e7241e46cb50ac323c67d3.npz,3f7b10965a1ede1ffaabc582fef1a05ee92b4ffd79e7241e46cb50ac323c67d3,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0,raw,10000,equal_total_shots,False,310000,results/stage6_v1/end_to_end/measurements/526dcd9d3d760fd079312d939eeb2ca4b198c6c4ca12f95a5e74fd250daec3be.npz,526dcd9d3d760fd079312d939eeb2ca4b198c6c4ca12f95a5e74fd250daec3be,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0,raw,100000,equal_total_shots,False,3100000,results/stage6_v1/end_to_end/measurements/526dcd9d3d760fd079312d939eeb2ca4b198c6c4ca12f95a5e74fd250daec3be.npz,526dcd9d3d760fd079312d939eeb2ca4b198c6c4ca12f95a5e74fd250daec3be,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0,zne,10000,equal_total_shots,False,929938,results/stage6_v1/end_to_end/measurements/c7cd01e4fb17922663d293750b60ce33172030a809e547ac60554b15b3910ba9.npz,c7cd01e4fb17922663d293750b60ce33172030a809e547ac60554b15b3910ba9,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0,zne,100000,equal_total_shots,False,9299938,results/stage6_v1/end_to_end/measurements/c7cd01e4fb17922663d293750b60ce33172030a809e547ac60554b15b3910ba9.npz,c7cd01e4fb17922663d293750b60ce33172030a809e547ac60554b15b3910ba9,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0,zne_quadratic,10000,equal_total_shots,False,929938,results/stage6_v1/end_to_end/measurements/c7cd01e4fb17922663d293750b60ce33172030a809e547ac60554b15b3910ba9.npz,3a6149ce99560776c2e75067cfe4176fd3b7b272b42b647b10c43ac35c519ce9,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0,zne_quadratic,100000,equal_total_shots,False,9299938,results/stage6_v1/end_to_end/measurements/c7cd01e4fb17922663d293750b60ce33172030a809e547ac60554b15b3910ba9.npz,3a6149ce99560776c2e75067cfe4176fd3b7b272b42b647b10c43ac35c519ce9,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0,sv,10000,equal_total_shots,False,310000,results/stage6_v1/end_to_end/measurements/fbf47e4b931089c2caf9c4cd18d13fb0ad4f30667e3054f401f3afdc74971fec.npz,fbf47e4b931089c2caf9c4cd18d13fb0ad4f30667e3054f401f3afdc74971fec,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0,sv,100000,equal_total_shots,False,3100000,results/stage6_v1/end_to_end/measurements/fbf47e4b931089c2caf9c4cd18d13fb0ad4f30667e3054f401f3afdc74971fec.npz,fbf47e4b931089c2caf9c4cd18d13fb0ad4f30667e3054f401f3afdc74971fec,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.01,raw,10000,equal_total_shots,False,310000,results/stage6_v1/end_to_end/measurements/dfd0134a739a32d1f6eab1ef88364ce31a7bd2ba96aa874305021621bdc6ccd4.npz,dfd0134a739a32d1f6eab1ef88364ce31a7bd2ba96aa874305021621bdc6ccd4,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.01,raw,100000,equal_total_shots,False,3100000,results/stage6_v1/end_to_end/measurements/dfd0134a739a32d1f6eab1ef88364ce31a7bd2ba96aa874305021621bdc6ccd4.npz,dfd0134a739a32d1f6eab1ef88364ce31a7bd2ba96aa874305021621bdc6ccd4,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.01,zne,10000,equal_total_shots,False,929938,results/stage6_v1/end_to_end/measurements/fde474f13e1874d6d711ca180ac74821137a8470be686f985614f3ef8803b839.npz,fde474f13e1874d6d711ca180ac74821137a8470be686f985614f3ef8803b839,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.01,zne,100000,equal_total_shots,False,9299938,results/stage6_v1/end_to_end/measurements/fde474f13e1874d6d711ca180ac74821137a8470be686f985614f3ef8803b839.npz,fde474f13e1874d6d711ca180ac74821137a8470be686f985614f3ef8803b839,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.01,zne_quadratic,10000,equal_total_shots,False,929938,results/stage6_v1/end_to_end/measurements/fde474f13e1874d6d711ca180ac74821137a8470be686f985614f3ef8803b839.npz,8bd048e76711b8ae81b32415b2f3b2a71d765414032724821df8f8d14b34ab2d,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.01,zne_quadratic,100000,equal_total_shots,False,9299938,results/stage6_v1/end_to_end/measurements/fde474f13e1874d6d711ca180ac74821137a8470be686f985614f3ef8803b839.npz,8bd048e76711b8ae81b32415b2f3b2a71d765414032724821df8f8d14b34ab2d,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.01,sv,10000,equal_total_shots,False,310000,results/stage6_v1/end_to_end/measurements/c0dee06a050899a2cddf5c25cfc2db612c487e37b7751ac1d18f3cd104a98214.npz,c0dee06a050899a2cddf5c25cfc2db612c487e37b7751ac1d18f3cd104a98214,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.01,sv,100000,equal_total_shots,False,3100000,results/stage6_v1/end_to_end/measurements/c0dee06a050899a2cddf5c25cfc2db612c487e37b7751ac1d18f3cd104a98214.npz,c0dee06a050899a2cddf5c25cfc2db612c487e37b7751ac1d18f3cd104a98214,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.05,raw,10000,equal_total_shots,False,310000,results/stage6_v1/end_to_end/measurements/3c4e0b9c861ae07afe90d82cc1b289f718812805bd69087b8d4cfb0cd4426329.npz,3c4e0b9c861ae07afe90d82cc1b289f718812805bd69087b8d4cfb0cd4426329,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.05,raw,100000,equal_total_shots,False,3100000,results/stage6_v1/end_to_end/measurements/3c4e0b9c861ae07afe90d82cc1b289f718812805bd69087b8d4cfb0cd4426329.npz,3c4e0b9c861ae07afe90d82cc1b289f718812805bd69087b8d4cfb0cd4426329,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.05,zne,10000,equal_total_shots,False,929938,results/stage6_v1/end_to_end/measurements/8a456b752201beef60a6d5a57faa4c6f709def49aa0760073b3fc946b9f43f7e.npz,8a456b752201beef60a6d5a57faa4c6f709def49aa0760073b3fc946b9f43f7e,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.05,zne,100000,equal_total_shots,False,9299938,results/stage6_v1/end_to_end/measurements/8a456b752201beef60a6d5a57faa4c6f709def49aa0760073b3fc946b9f43f7e.npz,8a456b752201beef60a6d5a57faa4c6f709def49aa0760073b3fc946b9f43f7e,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.05,zne_quadratic,10000,equal_total_shots,False,929938,results/stage6_v1/end_to_end/measurements/8a456b752201beef60a6d5a57faa4c6f709def49aa0760073b3fc946b9f43f7e.npz,073b3a5a81efb76fb10b80ba08afd1cf2591eaaa1d318e70164e429fcd858c22,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.05,zne_quadratic,100000,equal_total_shots,False,9299938,results/stage6_v1/end_to_end/measurements/8a456b752201beef60a6d5a57faa4c6f709def49aa0760073b3fc946b9f43f7e.npz,073b3a5a81efb76fb10b80ba08afd1cf2591eaaa1d318e70164e429fcd858c22,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.05,sv,10000,equal_total_shots,False,310000,results/stage6_v1/end_to_end/measurements/4bba818b8868bfe78bb7ffd62bc710f35b447b46f33732db7c0a72ebdd985192.npz,4bba818b8868bfe78bb7ffd62bc710f35b447b46f33732db7c0a72ebdd985192,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.025,0.05,sv,100000,equal_total_shots,False,3100000,results/stage6_v1/end_to_end/measurements/4bba818b8868bfe78bb7ffd62bc710f35b447b46f33732db7c0a72ebdd985192.npz,4bba818b8868bfe78bb7ffd62bc710f35b447b46f33732db7c0a72ebdd985192,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0,raw,10000,equal_total_shots,False,310000,results/stage6_v1/end_to_end/measurements/ca2e700875aa8bd00a625fbc650c93932770278b0f374f149949d1791762dfb9.npz,ca2e700875aa8bd00a625fbc650c93932770278b0f374f149949d1791762dfb9,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0,raw,100000,equal_total_shots,False,3100000,results/stage6_v1/end_to_end/measurements/ca2e700875aa8bd00a625fbc650c93932770278b0f374f149949d1791762dfb9.npz,ca2e700875aa8bd00a625fbc650c93932770278b0f374f149949d1791762dfb9,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0,zne,10000,equal_total_shots,False,929938,results/stage6_v1/end_to_end/measurements/8f9a345362f64ac80082627403bf25d6b9d81b2aff3229b1e252edc0d2e87916.npz,8f9a345362f64ac80082627403bf25d6b9d81b2aff3229b1e252edc0d2e87916,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0,zne,100000,equal_total_shots,False,9299938,results/stage6_v1/end_to_end/measurements/8f9a345362f64ac80082627403bf25d6b9d81b2aff3229b1e252edc0d2e87916.npz,8f9a345362f64ac80082627403bf25d6b9d81b2aff3229b1e252edc0d2e87916,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0,zne_quadratic,10000,equal_total_shots,False,929938,results/stage6_v1/end_to_end/measurements/8f9a345362f64ac80082627403bf25d6b9d81b2aff3229b1e252edc0d2e87916.npz,b20180653ae5b2bff592817d4bf603ab8641ce4d4d969c8014f88171893d8a1d,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0,zne_quadratic,100000,equal_total_shots,False,9299938,results/stage6_v1/end_to_end/measurements/8f9a345362f64ac80082627403bf25d6b9d81b2aff3229b1e252edc0d2e87916.npz,b20180653ae5b2bff592817d4bf603ab8641ce4d4d969c8014f88171893d8a1d,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0,sv,10000,equal_total_shots,False,310000,results/stage6_v1/end_to_end/measurements/c53a42eb0ae1d070bc4b295c51d1b0339325ad5c5d9402ba2f63e3fc07bc1240.npz,c53a42eb0ae1d070bc4b295c51d1b0339325ad5c5d9402ba2f63e3fc07bc1240,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0,sv,100000,equal_total_shots,False,3100000,results/stage6_v1/end_to_end/measurements/c53a42eb0ae1d070bc4b295c51d1b0339325ad5c5d9402ba2f63e3fc07bc1240.npz,c53a42eb0ae1d070bc4b295c51d1b0339325ad5c5d9402ba2f63e3fc07bc1240,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.01,raw,10000,equal_total_shots,False,310000,results/stage6_v1/end_to_end/measurements/180f84a65b09f6feb1951815917d262d7c37a7e805983bcbaf0056448ef2fbb1.npz,180f84a65b09f6feb1951815917d262d7c37a7e805983bcbaf0056448ef2fbb1,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.01,raw,100000,equal_total_shots,False,3100000,results/stage6_v1/end_to_end/measurements/180f84a65b09f6feb1951815917d262d7c37a7e805983bcbaf0056448ef2fbb1.npz,180f84a65b09f6feb1951815917d262d7c37a7e805983bcbaf0056448ef2fbb1,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.01,zne,10000,equal_total_shots,False,929938,results/stage6_v1/end_to_end/measurements/0877051e2aba2e59cc1009001498666009af32960d1dcaf38e5bc20b711dee4f.npz,0877051e2aba2e59cc1009001498666009af32960d1dcaf38e5bc20b711dee4f,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.01,zne,100000,equal_total_shots,False,9299938,results/stage6_v1/end_to_end/measurements/0877051e2aba2e59cc1009001498666009af32960d1dcaf38e5bc20b711dee4f.npz,0877051e2aba2e59cc1009001498666009af32960d1dcaf38e5bc20b711dee4f,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.01,zne_quadratic,10000,equal_total_shots,False,929938,results/stage6_v1/end_to_end/measurements/0877051e2aba2e59cc1009001498666009af32960d1dcaf38e5bc20b711dee4f.npz,0a6b6f3c2d34b0a78ce375a25cf86c906675b4468f9bc9d6764be4300e31b97b,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.01,zne_quadratic,100000,equal_total_shots,False,9299938,results/stage6_v1/end_to_end/measurements/0877051e2aba2e59cc1009001498666009af32960d1dcaf38e5bc20b711dee4f.npz,0a6b6f3c2d34b0a78ce375a25cf86c906675b4468f9bc9d6764be4300e31b97b,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.01,sv,10000,equal_total_shots,False,310000,results/stage6_v1/end_to_end/measurements/1064f18dc9913279ca367db6187393c992b00ad0e5591e95663ddb69cd87e2fd.npz,1064f18dc9913279ca367db6187393c992b00ad0e5591e95663ddb69cd87e2fd,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.01,sv,100000,equal_total_shots,False,3100000,results/stage6_v1/end_to_end/measurements/1064f18dc9913279ca367db6187393c992b00ad0e5591e95663ddb69cd87e2fd.npz,1064f18dc9913279ca367db6187393c992b00ad0e5591e95663ddb69cd87e2fd,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.05,raw,10000,equal_total_shots,False,310000,results/stage6_v1/end_to_end/measurements/5b27cb2de5613d1b71df944e22300402e061f6fb7ec174ad6e9b96f62ae609b4.npz,5b27cb2de5613d1b71df944e22300402e061f6fb7ec174ad6e9b96f62ae609b4,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.05,raw,100000,equal_total_shots,False,3100000,results/stage6_v1/end_to_end/measurements/5b27cb2de5613d1b71df944e22300402e061f6fb7ec174ad6e9b96f62ae609b4.npz,5b27cb2de5613d1b71df944e22300402e061f6fb7ec174ad6e9b96f62ae609b4,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.05,zne,10000,equal_total_shots,False,929938,results/stage6_v1/end_to_end/measurements/061c8725fe92123d13c4d2f3071e4444fd9e365f8cf89d5ccd24096227d9fc22.npz,061c8725fe92123d13c4d2f3071e4444fd9e365f8cf89d5ccd24096227d9fc22,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.05,zne,100000,equal_total_shots,False,9299938,results/stage6_v1/end_to_end/measurements/061c8725fe92123d13c4d2f3071e4444fd9e365f8cf89d5ccd24096227d9fc22.npz,061c8725fe92123d13c4d2f3071e4444fd9e365f8cf89d5ccd24096227d9fc22,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.05,zne_quadratic,10000,equal_total_shots,False,929938,results/stage6_v1/end_to_end/measurements/061c8725fe92123d13c4d2f3071e4444fd9e365f8cf89d5ccd24096227d9fc22.npz,adb460f0c2b652b4dc0885c764e796ae7fe207cd4818b08c13a70576bcef854a,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.05,zne_quadratic,100000,equal_total_shots,False,9299938,results/stage6_v1/end_to_end/measurements/061c8725fe92123d13c4d2f3071e4444fd9e365f8cf89d5ccd24096227d9fc22.npz,adb460f0c2b652b4dc0885c764e796ae7fe207cd4818b08c13a70576bcef854a,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.05,sv,10000,equal_total_shots,False,310000,results/stage6_v1/end_to_end/measurements/9ebc93330e10edd0cad42a7c88c6dd2ae01bc1666b198aea36302f0effa98c4b.npz,9ebc93330e10edd0cad42a7c88c6dd2ae01bc1666b198aea36302f0effa98c4b,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0375,0.05,sv,100000,equal_total_shots,False,3100000,results/stage6_v1/end_to_end/measurements/9ebc93330e10edd0cad42a7c88c6dd2ae01bc1666b198aea36302f0effa98c4b.npz,9ebc93330e10edd0cad42a7c88c6dd2ae01bc1666b198aea36302f0effa98c4b,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.05,0,raw,10000,equal_total_shots,False,310000,results/stage6_v1/end_to_end/measurements/c7a735fd92e0562f535dcd933aacf07a1615c3cfac3a834d254c8431043000f3.npz,c7a735fd92e0562f535dcd933aacf07a1615c3cfac3a834d254c8431043000f3,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.05,0,raw,100000,equal_total_shots,False,3100000,results/stage6_v1/end_to_end/measurements/c7a735fd92e0562f535dcd933aacf07a1615c3cfac3a834d254c8431043000f3.npz,c7a735fd92e0562f535dcd933aacf07a1615c3cfac3a834d254c8431043000f3,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.05,0,zne,10000,equal_total_shots,False,929938,results/stage6_v1/end_to_end/measurements/8d96e4b75ba521af8e95326270e2630b8da3c11f236893c60d704cb3914c9335.npz,8d96e4b75ba521af8e95326270e2630b8da3c11f236893c60d704cb3914c9335,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.05,0,zne,100000,equal_total_shots,False,9299938,results/stage6_v1/end_to_end/measurements/8d96e4b75ba521af8e95326270e2630b8da3c11f236893c60d704cb3914c9335.npz,8d96e4b75ba521af8e95326270e2630b8da3c11f236893c60d704cb3914c9335,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.05,0,zne_quadratic,10000,equal_total_shots,False,929938,results/stage6_v1/end_to_end/measurements/8d96e4b75ba521af8e95326270e2630b8da3c11f236893c60d704cb3914c9335.npz,d3f238b2cac9dd7719326cba8fd709d2d0d950b1991cf8b67ad76038a8bbd2d2,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.05,0,zne_quadratic,100000,equal_total_shots,False,9299938,results/stage6_v1/end_to_end/measurements/8d96e4b75ba521af8e95326270e2630b8da3c11f236893c60d704cb3914c9335.npz,d3f238b2cac9dd7719326cba8fd709d2d0d950b1991cf8b67ad76038a8bbd2d2,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.05,0,sv,10000,equal_total_shots,False,310000,results/stage6_v1/end_to_end/measurements/d30ca329d57e13b3dedafbca1a99a24a2a682f510c6a97e78f087297d626d9fb.npz,d30ca329d57e13b3dedafbca1a99a24a2a682f510c6a97e78f087297d626d9fb,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.05,0,sv,100000,equal_total_shots,False,3100000,results/stage6_v1/end_to_end/measurements/d30ca329d57e13b3dedafbca1a99a24a2a682f510c6a97e78f087297d626d9fb.npz,d30ca329d57e13b3dedafbca1a99a24a2a682f510c6a97e78f087297d626d9fb,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
