RN_proxy_label,additional_evidence,bc,cohort,evidence,h,kappa,legacy_reference_level,n,physical_label,physical_level,reason,sources
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.035,0.525,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/7a11b9d6a0b5887e79754497649e30ad9d077290285041d786b90cf8530424ae.npz;results/stage6_v1/reference_atlas/cache/808eda3d7a4409f51b2752bb16d0ae19833c5d4b1e9f89613a1acb5f14d91334.npz;results/stage6_v1/reference_atlas/cache/30d9c4c10e459f22da53c55533dccb27646a6841f8866070dc4c73ee7575e864.npz
antiphase-like,,PBC,development,N12/16 period4 amplitude stable (<6% fall) and complex-order Binder high; finite-size ordered interior evidence,0.05,0.55,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/b71701df684f2b98fc0e4b30fe7961844d16be046b5772faa78ecf5f960b2194.npz;results/stage6_v1/reference_atlas/cache/a37d5af1316cc2dfb8b8fd6479eaeab5fa0cc2d6a577fd700a0b80984ad8a921.npz;results/stage6_v1/reference_atlas/cache/123b2e4fbb9834d55841bd12153996a069b98519470bd90c7d777d3988a981fb.npz
antiphase-like,,PBC,development,N12/16 period4 amplitude stable (<6% fall) and complex-order Binder high; finite-size ordered interior evidence,0.075,0.575,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/8378d059ef425f7f53c942932a8fc5b4d5374cb469d0add5a7944f65c985845b.npz;results/stage6_v1/reference_atlas/cache/88e759e3fe203184df8f671f7a1dc1634f66f872831ff6ad3fdcfd07e4d71197.npz;results/stage6_v1/reference_atlas/cache/8793ff588ab80ae65ee704d123c118534dfa0e2e36d15fcf44cdbcc0744c220e.npz
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.3,0.4,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/faa4787962c83742e9888214ed2fa7c9a067d25a29404476f1dae8d82015999e.npz;results/stage6_v1/reference_atlas/cache/9292f5db8551053d8e305e696ddc18a2d9b53451e4a8d0f70e8eb041eddaee23.npz;results/stage6_v1/reference_atlas/cache/72cae167bb7778774c005b857965665ac50defdbb0fb6acd38ca752216b98a6e.npz
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.2,0.45,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/52bcf8fdf793ad3222e0b3cae34d5d564a6eea1c82c21820575ffe95621da30b.npz;results/stage6_v1/reference_atlas/cache/32a0e1f99f319faddd34c7e1419cac1a68d4b7f7053f72d4a0761c059138d1e5.npz;results/stage6_v1/reference_atlas/cache/756a3940986ac1ae0e1bdbe5a8a4b29ba6b62376a829bb4b193fdcdd447dd9fa.npz
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.1,0.5,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/16dabc86e9c6ef1399d638a5d00e25f67f4a3cac90cf606bae7e7a2c63e38b4f.npz;results/stage6_v1/reference_atlas/cache/338ce3f69b10a9dd72909daf2466dbf0bc71fed5f4800355955590bcb6b50e5f.npz;results/stage6_v1/reference_atlas/cache/608d5202ca7592f4d61674287ab5cc0c030c975f517e73c1b60893392a105598.npz
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.2,0.5,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/ebb450fe5b86d008146c212fe2eda29af5b756ce8da85d985bbb3b915a724b4a.npz;results/stage6_v1/reference_atlas/cache/329e3fbdd965501f934e1c7bb7fc6ed6efd9c189274c6228e7db1ca1dca8ef0f.npz;results/stage6_v1/reference_atlas/cache/64be65a37d595f513941f9f6efc51d14cc62251f2efa0bced85da0b26bcdcdda.npz
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.1,0.55,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/16be03f31e0844071ecd23dfb2a4612637eadefabda1910f1d4a9250172fba4b.npz;results/stage6_v1/reference_atlas/cache/e157d2e6d72e1db3d4268948aaa2d8ef862e45ab2215f3aebe452c630879efb3.npz;results/stage6_v1/reference_atlas/cache/5051550be1af44930878d9e42dbaa7b2b31f26d12a259c84cdbe6a65add49247.npz
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.2,0.55,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/9172945bf2a79c7cb2c1f2b730f2ddfe08778f523be205c847ad2f5c3398852a.npz;results/stage6_v1/reference_atlas/cache/fcc09d02cecb99e032150533920ce67dcd5024b1a4e15702a3c0aca5ec65a089.npz;results/stage6_v1/reference_atlas/cache/0520c80a676419733b31789d03a9b1a12c054d68ffe8cabc9ead4184860b5309.npz
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.2,0.6,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/9bdc240d538a5e35e0053da9bfa790b81b497805a9b30c71a2f1cc9537bb2171.npz;results/stage6_v1/reference_atlas/cache/3392eff1d8902f24b26a717eb0a2f97c06021171f56514c7a2e7f7ccf2b19f46.npz;results/stage6_v1/reference_atlas/cache/0466f8bf31ce509aef4f673975da54fbd997f556423ae9c97a26ece80d1ae4bd.npz
paramagnetic-like,,PBC,development,"Both order factors decrease with N12->16, polarization and stable sector gap; finite-size gapped-side evidence, no guarantee against very large xi",0.3,0.6,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/21fcbcbb4d3dc17d513936cb5b6a25788754d78f21d8859aa97aff15424fed10.npz;results/stage6_v1/reference_atlas/cache/f7035bec55fbba642cd5c5e78220874686056236ee1fadc12194f86058bef090.npz;results/stage6_v1/reference_atlas/cache/ca9338b194a78d0d3f6486719287881c6f38459a5cff24c61f3b2b8f418d3de4.npz
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.4,0.6,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/aedfee261f3076ba3926332acd2af9cdcae70075197e414e5235f11d7eea7493.npz;results/stage6_v1/reference_atlas/cache/86af848d7f2d0e4163e77e8a2c20b49d39d1841c8018313f9385d502692e724e.npz;results/stage6_v1/reference_atlas/cache/d0a3ea0bb5a8fbac209ac531c99900e9c57d6a0e207edf53dfbfcecc43ade5f0.npz
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.5,0.6,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/5488d13819acb7867d2915b747226fe90d95112270026ac553abad898f4914b5.npz;results/stage6_v1/reference_atlas/cache/e9d7bc31bf09f0c9d18336dbef6edb1c5a0625749133712c389520dbf0df6d10.npz;results/stage6_v1/reference_atlas/cache/a8411b98d8b5db3331c2c5bdc109205ed9df3c9492fd08feb2830dd5cdfc111c.npz
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.3,0.65,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/ba6266edb57aa649d48caf35b39db957b8a6e8e532bcbec7b6f8944801726c70.npz;results/stage6_v1/reference_atlas/cache/b8692cb0a6c9231489d3f187fbbb19394d527e6566c6127554de416721ccec1b.npz;results/stage6_v1/reference_atlas/cache/dd897ab645325c7c03ab008e0c3afe798cbec69db01e48548ffa42039752d19f.npz
ferro-like,,PBC,development,"Exact Ising ordered side, away from h=1; PBC finite-size observables retained",0.2,0.0,R0,8;12;16,ferro-like,R0,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/f77aa84af804bdece0db891cc93f341001f9939419b06572c1990a3e27216f9b.npz;results/stage6_v1/reference_atlas/cache/4f39ab6d30cdc39e85b00f3259ba6f30eeb3838a20e19223644d72eb91fc1483.npz;results/stage6_v1/reference_atlas/cache/d4ceae3e66545387ded9b3cd40c70ae7c77df3c7065aa72575c65852551c6c83.npz
paramagnetic-like,,PBC,development,"Exact Ising disordered side, away from h=1",1.8,0.0,R0,8;12;16,paramagnetic-like,R0,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/06e928b646ab84031dc875cf0e87ec09ed25d1372b2e11d1aee3498884e0baf9.npz;results/stage6_v1/reference_atlas/cache/a23b66967424f5545178565c56cfb39299e740946b18b44ac318108974408a0f.npz;results/stage6_v1/reference_atlas/cache/dddf91530f2b0c9cc4a4fc916f36079bb696e1a69adb1aa515f0e810cf00b101.npz
ferro-like,,PBC,development,Small-field continuation from classical ferro; m0 and fourth moment consistent; not a proved exact region boundary,0.2,0.1,R0_extension,8;12;16,ferro-like,R0_extension,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/d029ee2322cf98303a4f3eebe031772d09abf0229ff04b8a751e848e184b753d.npz;results/stage6_v1/reference_atlas/cache/1b44b40c628853ebbaba5602332ff038b80e5afe80182fadee652c085a85a95d.npz;results/stage6_v1/reference_atlas/cache/a5e965677d81e0cc3603bfc5e2d57eac7aea6a44ac64ab365f6f4b1742f92717.npz
paramagnetic-like,,PBC,development,"Both order factors decrease with N12->16, polarization and stable sector gap; finite-size gapped-side evidence, no guarantee against very large xi",1.5,0.2,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/ec5a0372ce326374f1cf62d57f98ab534ac5867d3dd28b9a871ca302e107bc27.npz;results/stage6_v1/reference_atlas/cache/61b0a0a4a8c2efa0d3d4deeb59cf67f0271ab8aaa110146bebf582f8f6726474.npz;results/stage6_v1/reference_atlas/cache/24633f04052aa005fe9239c3d41125bdd5ddde076a598cb125aed543a81cfbdd.npz
ferro-like,,PBC,development,Small-field continuation from classical ferro; m0 and fourth moment consistent; not a proved exact region boundary,0.1,0.3,R0_extension,8;12;16,ferro-like,R0_extension,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/dbd4ddf59c09944de686fc53c233148cdd5e89385cae6837c2b41be8e9d02b1c.npz;results/stage6_v1/reference_atlas/cache/a14c5da5d91f9c9907ae6419420d6da1f704733d138370b6db64a95e20108925.npz;results/stage6_v1/reference_atlas/cache/d99c9e50ead89210b602c9d4e113f96fb3db77c9528c49bfc7e511a62becf270.npz
paramagnetic-like,,PBC,development,"Both order factors decrease with N12->16, polarization and stable sector gap; finite-size gapped-side evidence, no guarantee against very large xi",1.2,0.3,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/6f8ba0fe923a6c0a7fcd52501997a6a34928187e8f0067e4714f0600d9e6d60b.npz;results/stage6_v1/reference_atlas/cache/c84f5d5033e91783125c03591707f7065a71e5ba2dc1eaf826835398cb8ac360.npz;results/stage6_v1/reference_atlas/cache/8ab3a7e12b4aeda9dcb48a1398020ae21949cca1322bf314af3c1c960acfaca7.npz
paramagnetic-like,,PBC,development,"High-field continuation, transverse polarization and absence of strong order; interior only",1.8,0.4,R0_extension,8;12;16,paramagnetic-like,R0_extension,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/e03aca85e1e1ec60555a4be7c28a17ffa154599635ac04988e636576773401bf.npz;results/stage6_v1/reference_atlas/cache/6a78a1fca13b02c235c483dd26a1b38454d3dc7c933d2d59430e111e4ea5e5fb.npz;results/stage6_v1/reference_atlas/cache/b5f3a7cd5c89df0216856bafb4cf13a5d03557cc397947f961842292cde847f3.npz
antiphase-like,,PBC,development,N12/16 period4 amplitude stable (<6% fall) and complex-order Binder high; finite-size ordered interior evidence,0.1,0.6,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/7d063c4f1046d6231320d8d9e3668ae7efea835a2f292c6e500b4bbe0bc57118.npz;results/stage6_v1/reference_atlas/cache/741ad53f93d80d0958ae05be20f458a573820ac31a38d98e078214834a0a9712.npz;results/stage6_v1/reference_atlas/cache/8d8963ec4eae55ab84c6eeb23d48176e7246546168146a4a4d0b8d7b69b4e60e.npz
paramagnetic-like,,PBC,development,"Both order factors decrease with N12->16, polarization and stable sector gap; finite-size gapped-side evidence, no guarantee against very large xi",1.5,0.7,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/ca746b17fc36d587613cabf53fde46df8ca76a6733184906752c0e75f22689fd.npz;results/stage6_v1/reference_atlas/cache/7e3d255b139209f5ec15b0e6176864d28f5c17f9bcdf001e4c18b682ec52dcbe.npz;results/stage6_v1/reference_atlas/cache/2f159d6346c26d3eaa349a08202c73a9c447842d34660de55cbcfc7cc4a29391.npz
antiphase-like,,PBC,development,Small-field continuation from classical period4; full SF peak and amplitude; requires separate finite-size trend for Rlarge,0.1,0.8,R0_extension,8;12;16,antiphase-like,R0_extension,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/d9df2db389285fe8aedc611b79b9541f37f217f7b56d656a854be718d976546a.npz;results/stage6_v1/reference_atlas/cache/c239f9e7a926451e73ea8a4a45d22fab6242580cdbba703ee0ef431848cdb71d.npz;results/stage6_v1/reference_atlas/cache/68d9dc1bef0efcd7bfcf3f690efe663ea40f37c2f65fc4980d338b2488846993.npz
paramagnetic-like,,PBC,development,"High-field continuation, transverse polarization and absence of strong order; interior only",1.8,0.9,R0_extension,8;12;16,paramagnetic-like,R0_extension,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/6324b4f7e5d4c54c24eb894fb77d9516bca398eaef84f0fdce55ae7f3aca9ffe.npz;results/stage6_v1/reference_atlas/cache/12d7235b998f2b3652dd551af8a5f0ba5f2069e7ef043af0f74e6d2f7d6e1836.npz;results/stage6_v1/reference_atlas/cache/86e832038c9f128c960ddc55d7578368e336138c9a202f34d5cdd37843418c1b.npz
antiphase-like,"{'classical_defect_gap': 4.0, 'local_h_over_gap': 0.05, 'criterion': 'h/Delta_classical<=.05; N12/16 order, fourth-moment Binder, polarization and<2%size drop jointly agree. This local energy-scale check is NOT an operator-norm perturbation theorem or an exact phase boundary.'}",PBC,development,N12/16 period4 amplitude stable (<6% fall) and complex-order Binder high; finite-size ordered interior evidence,0.2,1.0,Rlarge_ED_interior,8;12;16,antiphase-like,R0_extension_low_field_multiN,"Classical ordered limit with a nonzero independently enumerated defect gap, small transverse field relative to that local scale, and strong multi-size order/Binder evidence.",results/stage6_v1/reference_atlas/cache/1283fa2cee00555b819c3b418e836f95a042396f08317167ae9d2be08678952a.npz;results/stage6_v1/reference_atlas/cache/b818c4342722e8400cb0afeb13b85a16e74a6ba6553cd0774dfc3b0de3d34376.npz;results/stage6_v1/reference_atlas/cache/0432eb08e54dce29c72965d983fb06278c6bd38ae494482db7d3e0fa782276d9.npz
ferro-like,"{'classical_defect_gap': 0.7440000000000002, 'local_h_over_gap': 0.024193548387096767, 'criterion': 'h/Delta_classical<=.05; N12/16 order, fourth-moment Binder, polarization and<2%size drop jointly agree. This local energy-scale check is NOT an operator-norm perturbation theorem or an exact phase boundary.'}",PBC,validation,"N12/16 ferro order amplitude stable (<6% fall), high Binder; small positive field continuation, finite-size evidence only",0.018,0.407,Rlarge_ED_interior,8;12;16,ferro-like,R0_extension_low_field_multiN,"Classical ordered limit with a nonzero independently enumerated defect gap, small transverse field relative to that local scale, and strong multi-size order/Binder evidence.",results/stage6_v1/reference_atlas/cache/3cf4006934b1da46b6a65502632e9dd6b932d494aeb826fc39e057b676f21bda.npz;results/stage6_v1/reference_atlas/cache/41ecf325c38a09c011109ea66b88a731f833fd929c7e2899b1388250af8207e2.npz;results/stage6_v1/reference_atlas/cache/c4ae4a52c71be0b9ca9b76ce958df1bef061b47738a3d32a3891fc707bc37a16.npz
ferro-like,,PBC,validation,"N12/16 ferro order amplitude stable (<6% fall), high Binder; small positive field continuation, finite-size evidence only",0.058,0.407,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/80b7b088bb8f242068709231d48dc243470b0cb8b5e04375e74d532db7c806a5.npz;results/stage6_v1/reference_atlas/cache/77abbefb2428d37e4ccb2924cef85c7e6610f2818390907aef8f84152d0a1a42.npz;results/stage6_v1/reference_atlas/cache/f3d5a973f3d18fdf6a9e1b08f61428848a0e4261e8c96e8c762fee9c23785161.npz
ferro-like,,PBC,validation,"N12/16 ferro order amplitude stable (<6% fall), high Binder; small positive field continuation, finite-size evidence only",0.118,0.407,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/9eb181ac0fba4ce2bd92f3a6b2d19db6015597ff6345e4a8971dc5f1620c8ee1.npz;results/stage6_v1/reference_atlas/cache/4ede4c062a86496ecb9a566ecefb503c1997c37ce5adda0820d9f5c7b8813a12.npz;results/stage6_v1/reference_atlas/cache/261b020fcb02a9e1937ddb4e8f4bd6a0409153278af8127444b5fbe4155308ef.npz
ferro-like,"{'classical_defect_gap': 0.5840000000000001, 'local_h_over_gap': 0.030821917808219173, 'criterion': 'h/Delta_classical<=.05; N12/16 order, fourth-moment Binder, polarization and<2%size drop jointly agree. This local energy-scale check is NOT an operator-norm perturbation theorem or an exact phase boundary.'}",PBC,validation,"N12/16 ferro order amplitude stable (<6% fall), high Binder; small positive field continuation, finite-size evidence only",0.018,0.427,Rlarge_ED_interior,8;12;16,ferro-like,R0_extension_low_field_multiN,"Classical ordered limit with a nonzero independently enumerated defect gap, small transverse field relative to that local scale, and strong multi-size order/Binder evidence.",results/stage6_v1/reference_atlas/cache/63b102e899c9a96250859da81c449f7ac7733b46cdeec895362a36397502c2e6.npz;results/stage6_v1/reference_atlas/cache/416c49e1800829ed1c48a68f0a49cd3403cae97aa4af1c7a1adbaaa345a96006.npz;results/stage6_v1/reference_atlas/cache/3592bc98bf55f757bfa6855b5de9982e7b2a0aee1572c2c41125c3a9246aef9a.npz
ferro-like,,PBC,validation,"N12/16 ferro order amplitude stable (<6% fall), high Binder; small positive field continuation, finite-size evidence only",0.058,0.427,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/f3156231b661ce24811d99021621db9191e493fae9d236447363b04d409f4a16.npz;results/stage6_v1/reference_atlas/cache/5b58be19a0c78b22544f01c7a1685b87656c4ea367b87c48ec3bcc5b46166935.npz;results/stage6_v1/reference_atlas/cache/ec2db4302ebc833ddc2043916b21600c13fa327688517f1032bfe93b02ba8a74.npz
